Number of vertices	Min time	Max time	Average time
10	0.003151299955789	0.003246600041165948	0.003195566668485602
20	0.001408300013281405	0.001434599980711937	0.0014199333381839097
30	0.0003352999920025468	0.0003370000049471855	0.00033633333320418995
40	0.0026295999996364117	0.002773999993223697	0.0027208666627605758
50	0.0014977999962866306	0.0015568999806419015	0.0015180333284661174
60	0.001884699973743409	0.0019611999741755426	0.001925833309845378
70	0.00930900004459545	0.009786199952941388	0.0095185999913762
80	0.009303400001954287	0.011732599989045411	0.010832500003743917
90	0.01729039999190718	0.018904500000644475	0.018014299993713696
100	0.01003479998325929	0.0102201999980025	0.010140433325432241
110	0.00946750002913177	0.009658900031354278	0.009540900025361529
120	0.011703700001817197	0.012072400015313178	0.011855466659956923
130	0.014872100029606372	0.015673000016249716	0.015372366683247188
140	0.020263299986254424	0.0212828999501653	0.020860533307616908
150	0.022325400030240417	0.023284099996089935	0.022686400023909908
