Number of vertices	Min time	Max time	Average time
3	3.7999707274138927e-06	3.7999707274138927e-06	3.7999707274138927e-06
4	5.199981387704611e-06	5.199981387704611e-06	5.199981387704611e-06
5	1.479999627918005e-05	1.479999627918005e-05	1.479999627918005e-05
6	2.4300010409206152e-05	2.4300010409206152e-05	2.4300010409206152e-05
7	8.329999400302768e-05	8.329999400302768e-05	8.329999400302768e-05
8	0.0005356000037863851	0.0005356000037863851	0.0005356000037863851
9	0.0017707999795675278	0.0017707999795675278	0.0017707999795675278
10	0.004770900006406009	0.004770900006406009	0.004770900006406009
11	0.025607199990190566	0.025607199990190566	0.025607199990190566
12	0.18557169998530298	0.18557169998530298	0.18557169998530298
13	1.2718943999498151	1.2718943999498151	1.2718943999498151
14	8.095989199995529	8.095989199995529	8.095989199995529
15	47.194649799959734	47.194649799959734	47.194649799959734
